# ShopStop Audit Log – CS 432 Assignment 2 Module B
# Format: [timestamp] user=X role=Y action=Z table=T id=ID status=S
# This file is auto-populated by the Flask API on every data-modifying call.
# Direct DB modifications will NOT appear here – they are detectable as unauthorised.
[2026-03-18 15:27:20] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
[2026-03-18 15:40:27] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
[2026-03-18 15:50:26] user=admin role=admin action=UPDATE_STATUS_Confirmed table=PurchaseOrder id=ORD014 status=SUCCESS
[2026-03-18 15:52:47] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
[2026-03-18 15:56:39] user=admin role=admin action=INSERT table=Product id=PROD026 status=SUCCESS
[2026-03-18 16:01:35] user=admin role=admin action=DELETE table=Product id=PROD026 status=SUCCESS
[2026-03-18 16:01:52] user=admin role=admin action=LOGOUT table=- id=- status=SUCCESS
[2026-03-18 16:02:01] user=Rajesh role=unknown action=LOGIN table=- id=- status=FAILED
[2026-03-18 16:02:13] user=rajesh role=user action=LOGIN table=- id=- status=SUCCESS
[2026-03-18 16:06:41] user=rajesh role=user action=LOGOUT table=- id=- status=SUCCESS
[2026-03-18 16:06:58] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
[2026-03-18 22:55:45] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
[2026-03-18 23:03:02] user=admin role=admin action=UPDATE_STATUS_Delivered table=PurchaseOrder id=ORD007 status=SUCCESS
[2026-03-18 23:30:51] user=admin role=admin action=LOGOUT table=- id=- status=SUCCESS
[2026-03-18 23:31:29] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
[2026-03-18 23:47:54] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
[2026-03-18 23:53:30] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
[2026-03-18 23:54:47] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
[2026-03-18 23:59:59] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
[2026-03-19 00:13:57] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
[2026-03-19 12:00:25] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
[2026-03-19 12:02:49] user=admin role=admin action=LOGOUT table=- id=- status=SUCCESS
[2026-03-19 12:03:18] user=user role=unknown action=LOGIN table=- id=- status=FAILED
[2026-03-19 12:03:24] user=user role=unknown action=LOGIN table=- id=- status=FAILED
[2026-03-19 12:03:29] user=User role=unknown action=LOGIN table=- id=- status=FAILED
[2026-03-19 12:03:30] user=User role=unknown action=LOGIN table=- id=- status=FAILED
[2026-03-19 12:03:30] user=User role=unknown action=LOGIN table=- id=- status=FAILED
[2026-03-19 12:03:55] user=user role=unknown action=LOGIN table=- id=- status=FAILED
[2026-03-19 12:04:04] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
